!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.045507550  -0.172708184  
2000000  1.032568812  -0.243881315  
3000000  1.008444071  -0.320842534  
4000000  0.977746546  -0.400140911  
5000000  0.939814091  -0.479156971  
6000000  0.896547079  -0.555406928  
7000000  0.845760047  -0.628469288  
8000000  0.788763463  -0.698065221  
9000000  0.725665152  -0.762605846  
10000000  0.656924307  -0.821797371  
11000000  0.583125472  -0.875326753  
12000000  0.504565656  -0.922193766  
13000000  0.421521395  -0.962584555  
14000000  0.335081816  -0.995465875  
15000000  0.246063039  -1.020641804  
16000000  0.154193938  -1.037785411  
17000000  0.060970899  -1.046805263  
18000000  -0.033184797  -1.047502995  
19000000  -0.127482072  -1.039332151  
20000000  -0.220955446  -1.022568583  
21000000  -0.312917262  -0.997454047  
22000000  -0.402450114  -0.963781536  
23000000  -0.488781452  -0.921667874  
24000000  -0.570762038  -0.871683478  
25000000  -0.647747159  -0.814067066  
26000000  -0.719292283  -0.749534488  
27000000  -0.784171164  -0.678632617  
28000000  -0.841955721  -0.602188110  
29000000  -0.892193377  -0.520973027  
30000000  -0.934646010  -0.435426176  
31000000  -0.968795359  -0.346560091  
32000000  -0.994611502  -0.255284309  
33000000  -1.011964321  -0.161768228  
34000000  -1.020599961  -0.067200817  
35000000  -1.020429015  0.027648581  
36000000  -1.011660695  0.121654734  
37000000  -0.994090497  0.214023188  
38000000  -0.968311667  0.304211438  
39000000  -0.934686840  0.391306221  
40000000  -0.893241584  0.474651575  
41000000  -0.844557524  0.553693950  
42000000  -0.789012611  0.627712667  
43000000  -0.727174222  0.696289361  
44000000  -0.659449756  0.758741379  
45000000  -0.586600006  0.814537525  
46000000  -0.509674370  0.863263130  
47000000  -0.428782761  0.904735267  
48000000  -0.345198780  0.938605785  
49000000  -0.259424329  0.964550316  
50000000  -0.172130644  0.983001411  
51000000  -0.083849944  0.993619800  
52000000  0.004495226  0.996715248  
53000000  0.092335902  0.991748393  
54000000  0.179261833  0.979502618  
55000000  0.264246434  0.959707499  
56000000  0.347240746  0.933120489  
57000000  0.427192926  0.899084032  
58000000  0.503949642  0.859033704  
59000000  0.576513886  0.812317133  
60000000  0.644912362  0.759918392  
61000000  0.708283484  0.701967955  
62000000  0.766731143  0.639226615  
63000000  0.819475353  0.571268618  
64000000  0.866349161  0.499342203  
65000000  0.906873107  0.423405379  
66000000  0.941062927  0.344256729  
67000000  0.968205214  0.262172133  
68000000  0.988158941  0.178326428  
69000000  1.000931621  0.092668459  
70000000  1.006246209  0.006037466  
71000000  1.004075170  -0.081109039  
72000000  0.994217873  -0.167545989  
73000000  0.977189064  -0.252776951  
74000000  0.952796340  -0.336068511  
75000000  0.921099544  -0.417074949  
76000000  0.882714570  -0.495234966  
77000000  0.837532997  -0.570033252  
78000000  0.785803020  -0.640625179  
79000000  0.727924883  -0.706977606  
80000000  0.664313257  -0.767975211  
81000000  0.595493615  -0.823431373  
82000000  0.521747410  -0.872682631  
83000000  0.443537652  -0.915459037  
84000000  0.361670256  -0.951143205  
85000000  0.276671588  -0.979368865  
86000000  0.189089477  -1.000128627  
87000000  0.099704698  -1.013066649  
88000000  0.009323981  -1.017636299  
89000000  -0.081608482  -1.013805628  
90000000  -0.171884656  -1.001821041  
91000000  -0.260833949  -0.981533349  
92000000  -0.347759932  -0.953000486  
93000000  -0.431963474  -0.916625977  
94000000  -0.512369990  -0.872432053  
95000000  -0.588464856  -0.821100295  
96000000  -0.659241676  -0.762796402  
97000000  -0.724327087  -0.698470175  
98000000  -0.783342361  -0.627958894  
99000000  -0.835713446  -0.552540362  
100000000  -0.880676627  -0.472614497  
101000000  -0.917858779  -0.389369488  
102000000  -0.947349072  -0.303205371  
103000000  -0.968718231  -0.214585915  
104000000  -0.981943667  -0.124057449  
105000000  -0.986741662  -0.032861266  
106000000  -0.983157218  0.058396719  
107000000  -0.971019149  0.148591205  
108000000  -0.950900376  0.237108931  
109000000  -0.922630787  0.323132277  
110000000  -0.886855781  0.406098127  
111000000  -0.843606889  0.485223591  
112000000  -0.793422520  0.559940755  
113000000  -0.736809194  0.629726410  
114000000  -0.674343467  0.693626642  
115000000  -0.606577575  0.751175344  
116000000  -0.534142792  0.802267432  
117000000  -0.457738489  0.846810460  
118000000  -0.378078341  0.883862436  
119000000  -0.295912802  0.913416147  
120000000  -0.211990237  0.935576200  
121000000  -0.126336053  0.950293660  
122000000  -0.040336784  0.957359314  
123000000  0.045752950  0.957015455  
124000000  0.130910367  0.948940516  
125000000  0.215193659  0.933822036  
126000000  0.297397196  0.911176324  
127000000  0.377016932  0.881984949  
128000000  0.453903019  0.846039534  
129000000  0.527237594  0.803666830  
130000000  0.596526206  0.755035102  
131000000  0.661237955  0.700645030  
132000000  0.721133530  0.641220272  
133000000  0.775224328  0.576664329  
134000000  0.823906660  0.508045554  
135000000  0.866612792  0.435444504  
136000000  0.903052330  0.359348953  
137000000  0.932763040  0.280001491  
138000000  0.955591261  0.197924823  
139000000  0.971266270  0.113776892  
140000000  0.979432166  0.028347284  
141000000  0.979973674  -0.057167482  
142000000  0.973086715  -0.142140806  
143000000  0.958984435  -0.226216033  
144000000  0.937734246  -0.308613360  
145000000  0.909266710  -0.389055282  
146000000  0.873986542  -0.466781884  
147000000  0.831980884  -0.541420162  
148000000  0.783398867  -0.612291992  
149000000  0.728726983  -0.678918660  
150000000  0.668223560  -0.740288675  
151000000  0.602220953  -0.796564281  
152000000  0.531493902  -0.846936822  
153000000  0.456448555  -0.890742540  
154000000  0.377505451  -0.927987695  
155000000  0.295498520  -0.957927048  
156000000  0.210832328  -0.980520666  
157000000  0.124426216  -0.995262742  
158000000  0.036709085  -1.002423286  
159000000  -0.051522981  -1.001215100  
160000000  -0.139434412  -0.992565155  
161000000  -0.226111710  -0.975438774  
162000000  -0.311201364  -0.950540900  
163000000  -0.393269897  -0.918141127  
164000000  -0.472296357  -0.878248870  
165000000  -0.547413826  -0.831517637  
166000000  -0.617666900  -0.777877212  
167000000  -0.682630837  -0.718360722  
168000000  -0.741963029  -0.653333068  
169000000  -0.794996858  -0.583324611  
170000000  -0.841453195  -0.509064436  
