!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.042500257  -0.173607469  
2000000  1.029684782  -0.244213551  
3000000  1.005608320  -0.320611268  
4000000  0.974918306  -0.399665296  
5000000  0.938926220  -0.477801532  
6000000  0.893811405  -0.554353654  
7000000  0.843137801  -0.627150238  
8000000  0.786408961  -0.696517467  
9000000  0.723455071  -0.760897338  
10000000  0.655210316  -0.819943368  
11000000  0.581314445  -0.873150587  
12000000  0.503076375  -0.919974446  
13000000  0.420152545  -0.960104942  
14000000  0.333707303  -0.993007421  
15000000  0.245015800  -1.017918110  
16000000  0.153525442  -1.035047412  
17000000  0.060533851  -1.044087052  
18000000  -0.033437748  -1.044656634  
19000000  -0.127304792  -1.036652684  
20000000  -0.220811397  -1.020077467  
21000000  -0.312181383  -0.994771302  
22000000  -0.401641130  -0.961103380  
23000000  -0.487579465  -0.919017851  
24000000  -0.569355547  -0.869324386  
25000000  -0.646484435  -0.811578393  
26000000  -0.717640519  -0.747248650  
27000000  -0.782214403  -0.676545441  
28000000  -0.839764893  -0.600384414  
29000000  -0.889927208  -0.519183457  
30000000  -0.932287455  -0.433966070  
31000000  -0.966375887  -0.345337659  
32000000  -0.992089033  -0.254159331  
33000000  -1.009229660  -0.160869330  
34000000  -1.017930508  -0.066559084  
35000000  -1.017705083  0.027972471  
36000000  -1.008907318  0.121829115  
37000000  -0.991362333  0.214026794  
38000000  -0.965721309  0.303946525  
39000000  -0.932073593  0.390667140  
40000000  -0.890818775  0.473915070  
41000000  -0.842083156  0.552615285  
42000000  -0.786782086  0.626562059  
43000000  -0.724857450  0.694953561  
44000000  -0.657287836  0.757213116  
45000000  -0.584686935  0.812854588  
46000000  -0.507669687  0.861409605  
47000000  -0.426974416  0.902625442  
48000000  -0.343743384  0.936214626  
49000000  -0.258025527  0.962493956  
50000000  -0.170856044  0.980714977  
51000000  -0.082959510  0.991259456  
52000000  0.005342238  0.994037867  
53000000  0.092756711  0.989147246  
54000000  0.179595843  0.976941407  
55000000  0.264441073  0.957177579  
56000000  0.347048938  0.930289328  
57000000  0.426943660  0.896725237  
58000000  0.503319800  0.856499076  
59000000  0.575906634  0.809960902  
60000000  0.644093275  0.757571220  
61000000  0.707369268  0.699818492  
62000000  0.765589893  0.636839628  
63000000  0.818113506  0.569229305  
64000000  0.864860892  0.497330099  
65000000  0.905143678  0.421764791  
66000000  0.939107716  0.342548728  
67000000  0.966197312  0.260762066  
68000000  0.986043334  0.176903859  
