!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.072224736  -0.174273387  
2000000  1.059183478  -0.247741237  
3000000  1.034774780  -0.327025741  
4000000  1.003560066  -0.408364207  
5000000  0.966240466  -0.490051746  
6000000  0.920665801  -0.567751944  
7000000  0.868985236  -0.642729104  
8000000  0.810946107  -0.714090168  
9000000  0.746382833  -0.780670822  
10000000  0.676304340  -0.841918826  
11000000  0.600710928  -0.896733165  
12000000  0.520325661  -0.945179284  
13000000  0.435423672  -0.986771941  
14000000  0.346794635  -1.020842433  
15000000  0.255500793  -1.047038436  
16000000  0.161388293  -1.065059066  
17000000  0.065785222  -1.074773312  
18000000  -0.030543204  -1.075805187  
19000000  -0.127472088  -1.068029642  
20000000  -0.223292217  -1.051386714  
21000000  -0.318043023  -1.025842905  
22000000  -0.409999788  -0.991632700  
23000000  -0.498665810  -0.948914111  
24000000  -0.583074033  -0.897772551  
25000000  -0.662490070  -0.838935733  
26000000  -0.736135900  -0.773122549  
27000000  -0.803132772  -0.700623274  
28000000  -0.862925231  -0.622532845  
29000000  -0.914860368  -0.539180279  
30000000  -0.958792508  -0.451765031  
31000000  -0.994317472  -0.360757113  
32000000  -1.021254063  -0.266919404  
33000000  -1.039432883  -0.171098039  
34000000  -1.048791051  -0.074039139  
35000000  -1.049095750  0.023293868  
36000000  -1.040386796  0.119838402  
37000000  -1.023042321  0.214928359  
38000000  -0.997085631  0.307379842  
39000000  -0.962948561  0.396992981  
40000000  -0.920876801  0.482629418  
41000000  -0.871359169  0.564058006  
42000000  -0.814632833  0.640223086  
43000000  -0.751459897  0.710971713  
44000000  -0.682326436  0.775319934  
45000000  -0.608057797  0.833081543  
46000000  -0.529074371  0.883541107  
47000000  -0.446601719  0.926318347  
48000000  -0.360997826  0.961566091  
49000000  -0.273265779  0.988760769  
50000000  -0.183802500  1.008237839  
51000000  -0.093604192  1.019618511  
52000000  -0.002911540  1.023058653  
53000000  0.087047659  1.018704414  
54000000  0.176187217  1.006741881  
55000000  0.263452083  0.987229884  
56000000  0.348630667  0.960512459  
57000000  0.430741727  0.926329076  
58000000  0.509619951  0.885631561  
59000000  0.584249735  0.838591933  
60000000  0.654812336  0.785346210  
61000000  0.720332205  0.726766407  
62000000  0.780566812  0.662641764  
63000000  0.835100710  0.593728960  
64000000  0.883717418  0.520483971  
65000000  0.925978720  0.443134099  
66000000  0.961494029  0.362302035  
67000000  0.990178645  0.278686166  
68000000  1.011348486  0.192842290  
69000000  1.025364876  0.105353706  
70000000  1.031826615  0.016613193  
71000000  1.030410886  -0.072625682  
72000000  1.021418810  -0.161145970  
73000000  1.004702806  -0.248655871  
74000000  0.980632603  -0.334199071  
75000000  0.949220538  -0.417535514  
76000000  0.910634935  -0.498069167  
77000000  0.865228295  -0.575122893  
78000000  0.813256145  -0.648292243  
79000000  0.754904211  -0.716716588  
80000000  0.690546691  -0.779907942  
81000000  0.620541930  -0.837637961  
82000000  0.545596421  -0.889022171  
83000000  0.466142088  -0.934003830  
84000000  0.382656962  -0.971499503  
85000000  0.296104819  -1.001652837  
86000000  0.206431583  -1.024011135  
87000000  0.115083881  -1.038452268  
88000000  0.022268010  -1.044361591  
89000000  -0.070836775  -1.041839719  
90000000  -0.163757503  -1.030882597  
91000000  -0.255269766  -1.011208773  
92000000  -0.344722688  -0.983447075  
93000000  -0.431412756  -0.947319746  
94000000  -0.514731169  -0.902952552  
95000000  -0.593364477  -0.851364255  
96000000  -0.666936815  -0.792769432  
97000000  -0.734811664  -0.727652073  
98000000  -0.796415567  -0.656172931  
99000000  -0.851166606  -0.579580367  
100000000  -0.898551702  -0.498058349  
101000000  -0.937970638  -0.413251936  
102000000  -0.969322205  -0.325247109  
103000000  -0.992675960  -0.234774083  
104000000  -1.007564306  -0.142133683  
105000000  -1.013871312  -0.048509322  
106000000  -1.011494279  0.045137372  
107000000  -1.000558972  0.137903243  
108000000  -0.981209278  0.229062393  
109000000  -0.953634918  0.317763031  
110000000  -0.917963862  0.403416932  
111000000  -0.874978065  0.485291123  
112000000  -0.824691176  0.562841117  
113000000  -0.767486513  0.635212660  
114000000  -0.704640329  0.701680005  
115000000  -0.635763049  0.761942208  
116000000  -0.562315285  0.815748394  
117000000  -0.484733522  0.862188816  
118000000  -0.403591990  0.901621342  
119000000  -0.319851071  0.933185041  
120000000  -0.233781964  0.957398176  
121000000  -0.146628886  0.973737776  
122000000  -0.058621898  0.982556522  
123000000  0.029741621  0.983476818  
124000000  0.117496498  0.976786137  
125000000  0.203799710  0.962611020  
126000000  0.288538694  0.941053152  
127000000  0.370717764  0.912220478  
128000000  0.449937999  0.876589179  
129000000  0.525819957  0.834525406  
130000000  0.597742319  0.786098301  
131000000  0.664931297  0.731413484  
132000000  0.727260113  0.671489775  
133000000  0.784112573  0.606604815  
134000000  0.835312486  0.537139833  
